
        ID      Long          Lat           Base PlateStructure Ht to TDC
        201     -98.629483333334.89199444444    602.29    106.99       710
        202     -98.627644444434.89145277778    585.52    106.99       693
        203     -98.661855555534.88165277778    593.45    106.99       701
        204     -98.660033333334.88088888889    614.78    106.99       722
        205     -98.657022222234.88155000000    608.69    106.99       716
        206     -98.654277777734.88302777778    590.09    106.99       698
        207     -98.652383333334.88372222222    593.14    106.99       701
        208     -98.650441666634.88340833333    589.48    106.99       697
        209     -98.642627777734.88405000000    586.74    106.99       694
        210     -98.640986111134.88346388889    596.49    106.99       704
        211     -98.639061111134.88366944444    605.03    106.99       713
        212     -98.636941666634.88402777778    614.17    106.99       722
        213     -98.635086111134.88369722222    605.33    106.99       713
        214     -98.633280555534.88320277778    605.33    106.99       713
        215     -98.630947222234.88441666667    614.17    106.99       722
        216     -98.628361111134.88446388889    598.93    106.99       706
        217     -98.624144444434.88296666667    596.19    106.99       704
        218     -98.621400000034.88490000000    601.98    106.99       709
        219     -98.619250000034.88468055556    595.88    106.99       703
        220     -98.615155555534.87940277778    577.90    106.99       685
        221     -98.613266666634.87865277778    600.15    106.99       708
        222     -98.611305555534.87876388889    616.92    106.99       724
        223     -98.598400000034.87189166667    590.09    106.99       698
        224     -98.647500000034.87558333333    608.08    106.99       716
        225     -98.645302777734.87545277778    611.43    106.99       719
        226     -98.637477777734.87496111111    586.74    106.99       694
        227     -98.635363888834.87416666667    600.15    106.99       708
        228     -98.633397222234.87423333333    611.73    106.99       719
        229     -98.631413888834.87397500000    615.09    106.99       723
        230     -98.629294444434.87498333333    615.70    106.99       723
        231     -98.627450000034.87408055556    626.67    106.99       734
        232     -98.625458333334.87384444444    632.46    106.99       740
        233     -98.622919444434.87399722222    623.62    106.99       731
        234     -98.620569444434.87394722222    620.57    106.99       728
        235     -98.614766666634.87212222222    610.82    106.99       718
        236     -98.611458333334.87075277778    602.29    106.99       710
        237     -98.609738888834.87121111111    595.58    106.99       703
        238     -98.602625000034.87146388889    617.22    106.99       725
        240     -98.662358333334.87545833333    627.28    106.99       735
        241     -98.660461111134.87493888889    635.51    106.99       743
        242     -98.658161111134.87478888889    636.12    106.99       744
        243     -98.655897222234.87330555556    623.32    106.99       731
        244     -98.654108333334.87254444444    616.61    106.99       724
        245     -98.651472222234.87048055556    629.72    106.99       737
        246     -98.648916666634.86919722222    635.20    106.99       743
        247     -98.646358333334.86945833333    629.41    106.99       737
        248     -98.643219444434.86607777778    632.46    106.99       740
        249     -98.641183333334.86576111111    620.88    106.99       728
        250     -98.639205555534.86562222222    618.44    106.99       726
        251     -98.636091666634.86273888889    630.33    106.99       738
        252     -98.634025000034.86212777778    635.20    106.99       743
        253     -98.632027777734.86246111111    635.51    106.99       743
        254     -98.628808333334.86704444444    623.32    106.99       731
        255     -98.626888888834.86656944444    623.62    106.99       731
        256     -98.624991666634.86605555556    629.41    106.99       737
        257     -98.622558333334.86749444444    642.52    106.99       750
        258     -98.620597222234.86713055556    644.65    106.99       752
        259     -98.617852777734.86513611111    641.60    106.99       749
        260     -98.615991666634.86464444444    629.72    106.99       737
        261     -98.614019444434.86353611111    629.41    106.99       737
        262     -98.611872222234.86339444444    623.32    106.99       731
        263     -98.609633333334.86305277778    629.72    106.99       737
        264     -98.607950000034.86270555556    623.93    106.99       731
        265     -98.606013888834.86234444444    623.62    106.99       731
        266     -98.604041666634.86247222222    630.94    106.99       738
        267     -98.601805555534.86210833333    642.82    106.99       750
        268     -98.664250000034.87602222222    623.62    106.99       731
        269     -98.666430555534.87858055556    625.15    106.99       733
        270     -98.668133333334.87955000000    614.78    106.99       722
        271     -98.670188888834.87963611111    625.15    106.99       733
        272     -98.672052777734.87906388889    645.57    106.99       753
        273     -98.673822222234.87980000000    632.16    106.99       740
        274     -98.675769444434.87998611111    627.28    106.99       735
        275     -98.677566666634.87940277778    634.29    106.99       742
        276     -98.679450000034.87891388889    624.84    106.99       732
        277     -98.682422222234.88301388889    596.49    106.99       704
        278     -98.684283333334.88255000000    601.37    106.99       709
        279     -98.686263888834.88236666667    605.03    106.99       713
        280     -98.689050000034.88695555556    575.16    106.99       683
        281     -98.691111111134.88553611111    570.28    106.99       678
        282     -98.692833333334.88471944444    580.34    106.99       688
        283     -98.694838888834.88412777778    575.77    106.99       683
        284     -98.696755555534.88350277778    569.98    106.99       677
        A1      -98.508422222234.83176111111    587.65    118.26       706
        A10     -98.491805555534.82373611111    535.23    118.26       654
        A11     -98.490125000034.82168055556    528.83    118.26       648
        A12     -98.487563888834.82016388889    529.13    118.26       648
        A13     -98.485397222234.81873888889    530.05    118.26       649
        A14     -98.483277777734.81681944444    523.34    118.26       642
        A15     -98.481080555534.81499722222    524.26    118.26       643
        A16     -98.479247222234.81270000000    520.29    118.26       639
        A17     -98.477641666634.81031111111    525.17    118.26       644
        A18     -98.475738888834.80895000000    510.24    118.26       629
        A19     -98.473322222234.80723611111    505.05    118.26       624
        A2      -98.506780555534.82828888889    576.99    118.26       696
        A20     -98.471361111134.80626944444    498.96    118.26       618
        A21     -98.468569444434.80485833333    491.34    118.26       610
        A22     -98.465261111134.80385833333    486.16    118.26       605
        A23     -98.463213888834.80323888889    480.06    118.26       599
        A24     -98.461150000034.80273611111    473.96    118.26       593
        A3      -98.504602777734.82708055556    576.68    118.26       695
        A4      -98.502683333334.82410555556    553.21    118.26       672
        A5      -98.502000000034.83055833333    559.31    118.26       678
        A6      -98.499677777734.82783611111    564.79    118.26       684
        A7      -98.497419444434.82566111111    554.74    118.26       673
        A8      -98.495727777734.82793611111    553.21    118.26       672
        A9      -98.493730555534.82549166667    537.67    118.26       656
        B2      -98.491822222234.83239722222    513.28    118.26       632
        B3      -98.488505555534.83218888889    515.11    118.26       634
        B4      -98.486108333334.83263888889    509.02    118.26       628
        B5      -98.483811111134.83263888889    505.66    118.26       624
        B6      -98.481525000034.83301666667    497.13    118.26       616
        C2      -98.473650000034.81825277778    498.35    118.26       617
        C3      -98.471594444434.81751666667    488.90    118.26       608
        C4      -98.469427777734.81943611111    503.83    118.26       623
        C5      -98.467111111134.81943611111    487.07    118.26       606
        D2      -98.454505555534.82068055556    478.84    118.26       598
        D3      -98.451616666634.82089722222    490.73    118.26       609
        D4      -98.450100000034.82028055556    477.01    118.26       596
        E1      -98.456236111134.80871111111    516.94    118.26       636
        E2      -98.458175000034.80966666667    502.01    118.26       621
        E3      -98.455408333334.81332500000    508.71    118.26       627
        E4      -98.451763888834.81170000000    490.73    118.26       609
        F2      -98.450688888834.80424166667    482.19    118.26       601
        F3      -98.447233333334.80625555556    479.15    118.26       598
        F4      -98.445125000034.80873888889    487.68    118.26       606
        G1      -98.454833333334.80068888889    469.09    118.26       588
        G10     -98.432819444434.78910555556    456.90    118.26       576
        G2      -98.453052777734.79879444444    471.22    118.26       590
        G3      -98.451225000034.79771388889    466.65    118.26       585
        G4      -98.448383333334.79578888889    467.26    118.26       586
        G5      -98.446161111134.79498611111    464.21    118.26       583
        G6      -98.443861111134.79556111111    456.59    118.26       575
        G7      -98.439269444434.79239444444    454.76    118.26       574
        G8      -98.436897222234.79059722222    446.23    118.26       565
        G9      -98.434605555534.79043611111    451.41    118.26       570
        H1      -98.489363888834.84750277778    530.96    118.26       650
        H2      -98.491133333334.84598888889    540.72    118.26       659
        H3      -98.493333333334.84743888889    552.60    118.26       671
        H4      -98.495875000034.84674722222    538.89    118.26       658
        H5      -98.498441666634.84712222222    537.67    118.26       656
        H6      -98.500555555534.84767777778    540.11    118.26       659
        I1      -98.476030555534.84801111111    575.16    118.26       694
        I2      -98.473913888834.84650833333    557.48    118.26       676
        I3      -98.471716666634.84620277778    550.16    118.26       669
        I4      -98.469613888834.84507500000    538.58    118.26       657
        I5      -98.467388888834.84398333333    537.97    118.26       657
        I6      -98.466522222234.84126388889    524.87    118.26       644
        I7      -98.463466666634.84331388889    517.25    118.26       636
                -98.600944444434.87069166667    611.12    106.99       719
